review_id,company_id,company_name,review_text
0,1117,Asicminertech,"I only barely escaped with my money because of glóbalfundrètrival company. They come across as extremely professional. There are some very good reviews on various UK sites but they're a total scam. They pretend to help you invest in crypto and show you the results of your deposits and profits on their fake webpage prime-coin.info. Whatever you put in will not come back out even if you pay the 20% ""withdrawal"" fee that the fake Blockchain advises is for regulatory purposes."
1,1117,Asicminertech,"FAKE SCAM!  I got scammed out of several thousand dollars. Domain is registered in ICELAND, Just check ICANN domain registration site, it's registered to this address: Kalkofnsvegur 2, Reykjavik, Capital Region, 101, ISI have a friend that lives in Florida and she went by the address, and NOPE no business there. The guy is an Indian or Chinese, not sure which, but not an American. LIAR THIEF, CHEAT, he will rot in HELL!"
2,1117,Asicminertech,"Horrible scammers, you will loose your bitcoin, don't fall for this scammer, FAKE not trustworthy.  Please report your money lost to FTC, IC3 and the website host provider. Do a search to find out how to contact website host provider for a website and file and abuse report, it's the only way to stop these thieves!  This site is registered in ICELAND but hosted by namecheap so report fraud to namecheap ASAP!"
3,1117,Asicminertech,"As the internet shopping becomes more and more widely spread throughout the world as an idea, the frauds occur more and more often. I thought im immune to financial traps but it seems i am not, this site proves it. I payed and didn't receive anything. I hope no one else get in my position, so choose wisely before sending money to an online shop!"
4,1117,Asicminertech,"THIS IS 100% A SCAM!!I called the telephone number and a guy that sounded like he just woke up picked the phone up, and I told him i'm in the area and would like to buy and pickup an ASIC miner. He hung the phone up immediately.Also contacted a real business in the same address location and there are no businesses in the vicinity that sells anything like tech/ hardware.The website was created a month ago, and also has way too many English grammatical errors."
5,1117,Asicminertech,"This is a total scam. Please stay away from this website. We’re taking legal action against this company. If anyone else is interested in being a part please contact +1 (860) 212-3808. We were told our product would arrived a week after depositing the money, never received the product. Total scam."
6,1117,Asicminertech,"NO NO NO NO NO. FAKE SCAM! The reviews below were written by the scammers from this website. DO NOT SEND YOUR CRYPTO, it will be gone forever! Don't be a fool like me, I lost thousands. There is no real company at the florida address. When I asked for a refund they wanted another $300 to process it. Imagine that!  Domain is registered in ICELAND. FAKE FRAUD, SCAM LIARS THIEFS, foreigners on VPN creating fake sites raking in THOUSANDS. BEWARE!"
7,1117,Asicminertech,"The ease and endless selection of online shopping is growing, but you need to not forget to take precautions to make sure you get what you pay for and not being scammed like i let this site to do with me. I was careless and didn't follow the signs to make sure its not legit."
8,1117,Asicminertech,My experience with this site is i liked a product which i payed in advance and it's been third month waiting and still nothing is delivered to me. I was careless. If i remember well there was a quote - if something is too good to be true then it probably is! Fraud
9,1117,Asicminertech,"Trusting asicminertech.com and ordering from there, like i did, will lead to losing your money and you will not get the product, because they don't deliver ! Scam!"
